brand,model_name,ram_raw,ram_gb_parsed,storage_raw,storage_gb_parsed,chipset,battery_raw,screen_size_inch,refresh_rate_hz,main_camera_mp,front_camera_mp,has_5g,release_year,price_vnd,product_url,collected_at
Oppo,OPPO Reno15 5G 12GB,12 GB,12.0,256GB,256.0,,,6.59 inch,,50.0 MP,,1,,16990000,https://fptshop.com.vn/dien-thoai/oppo-reno15-5g,2026-08-07T14:33:04.559689
Apple,iPhone 16,128GB,128.0,128 GB,128.0,,8 GB,6.1 inch,,,,0,,20990000,https://fptshop.com.vn/dien-thoai/iphone-16,2026-08-07T14:33:06.987658
Samsung,Samsung Galaxy S25 FE 5G,8 GB,8.0,128GB,128.0,,,6.7 inch,,50.0 MP,,1,,13090000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s25-fe?sku=00921056,2026-08-07T14:33:09.947777
Xiaomi,Xiaomi 17 Ultra 5G 16GB,16 GB,16.0,512GB,512.0,,,6.9 inch,,50.0 MP,,1,,31990000,https://fptshop.com.vn/dien-thoai/xiaomi-17-ultra?sku=00925846,2026-08-07T14:33:13.261084
Samsung,Samsung Galaxy S26 5G 12GB,12 GB,12.0,256GB,256.0,,,6.3 inch,,50.0 MP,,1,,20990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s26,2026-08-07T14:33:18.198515
Apple,iPhone 17 Pro,256GB,256.0,256 GB,256.0,,12 GB,6.3 inch,,,,0,,31990000,https://fptshop.com.vn/dien-thoai/iphone-17-pro,2026-08-07T14:33:20.677071
Nubia,Nubia V80 Design 8GB,8 GB,8.0,256GB,256.0,,,6.75 inch,,50.0 MP,,0,,4490000,https://fptshop.com.vn/dien-thoai/nubia-v80-design?sku=00924722,2026-08-07T14:33:24.199955
Oppo,OPPO Reno13 F 5G 12GB,12 GB,12.0,256GB,256.0,,,6.67 inch,,50.0 MP,,1,,9990000,https://fptshop.com.vn/dien-thoai/oppo-reno13-f-5g,2026-08-07T14:33:27.247407
Tecno,Tecno Camon 40 8GB,8 GB,8.0,128GB,128.0,,,6.78 inch,,50.0 MP,,0,,4990000,https://fptshop.com.vn/dien-thoai/tecno-camon-40?sku=00917774,2026-08-07T14:33:30.843463
Xiaomi,Xiaomi Redmi 15C 8GB,8 GB,8.0,256GB,256.0,,,6.9 inch,,50.0 MP,,0,,4990000,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-15c-8gb,2026-08-07T14:33:33.385444
REDMAGIC,REDMAGIC 11S Pro 5G 16GB,16 GB,16.0,512GB,512.0,,,6.85 inch,,50.0 MP,,1,,25990000,https://fptshop.com.vn/dien-thoai/redmagic-11s-pro-16gb,2026-08-07T14:33:36.224420
Apple,iPhone 17 Pro Max,256GB,256.0,1 TB,1.0,,12 GB,6.9 inch,,,,0,,46990000,https://fptshop.com.vn/dien-thoai/iphone-17-pro-max-1tb?sku=00921807,2026-08-07T14:33:38.995280
Honor,Honor Play 10 3GB,3 GB,3.0,64GB,64.0,,,6.74 inch,,13.0 MP,,0,,3590000,https://fptshop.com.vn/dien-thoai/honor-play-10,2026-08-07T14:33:42.340639
Apple,iPhone Air,256GB,256.0,256 GB,256.0,,12 GB,6.5 inch,,,,0,,22990000,https://fptshop.com.vn/dien-thoai/iphone-air-256gb,2026-08-07T14:33:45.273760
Samsung,Samsung Galaxy Z Fold8 5G 12GB,12 GB,12.0,256GB,256.0,,,7.6 inch,,50.0 MP,,1,,46990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-fold8,2026-08-07T14:33:47.581113
TCL,TCL 60R 5G 4GB,4 GB,4.0,128GB,128.0,,,6.7 inch,,50 MP,,1,,2990000,https://fptshop.com.vn/dien-thoai/tcl-60r?sku=00918547,2026-08-07T14:33:51.151653
Xiaomi,Xiaomi Poco X7 5G 12GB,12 GB,12.0,512GB,512.0,,,6.67 inch,,,,1,,7490000,https://fptshop.com.vn/dien-thoai/xiaomi-poco-x7,2026-08-07T14:33:53.821894
Apple,iPhone 16,256GB,256.0,256 GB,256.0,,8 GB,6.1 inch,,,,0,,23490000,https://fptshop.com.vn/dien-thoai/iphone-16-256gb,2026-08-07T14:33:56.917129
Xiaomi,Xiaomi POCO C81 Pro 4GB,4 GB,4.0,128GB,128.0,,,6.9 inch,,13.0 MP,,0,,3890000,https://fptshop.com.vn/dien-thoai/xiaomi-poco-c81-pro,2026-08-07T14:34:00.363133
Oppo,OPPO A6T 6GB,6 GB,6.0,256GB,256.0,,,6.75 inch,,13.0 MP,,0,,8090000,https://fptshop.com.vn/dien-thoai/oppo-a6t-6gb?sku=00924549,2026-08-07T14:34:03.509824
Honor,Honor X7d 8GB,8 GB,8.0,128GB,128.0,,,6.77 inch,,108.0 MP,,0,,6090000,https://fptshop.com.vn/dien-thoai/honor-x7d,2026-08-07T14:34:09.210629
Oppo,Oppo Find X9s 5G 12GB,12 GB,12.0,256GB,256.0,,,6.59 inch,,,,1,,24990000,https://fptshop.com.vn/dien-thoai/oppo-find-x9s?sku=00928167,2026-08-07T14:34:12.165449
Samsung,Samsung Galaxy A26 5G,8 GB,8.0,128GB,128.0,,,6.7 inch,,50.0 MP,,1,,6990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a26,2026-08-07T14:34:14.369311
Samsung,Samsung Galaxy A07 5G 4GB,4 GB,4.0,128GB,128.0,,,6.74 inch,,50.0 MP,,1,,5090000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a07-5g,2026-08-07T14:34:19.969237
Xiaomi,Xiaomi 17T Pro 5G 12GB,12 GB,12.0,512GB,512.0,,,6.83 inch,,50.0 MP,,1,,22490000,https://fptshop.com.vn/dien-thoai/xiaomi-17t-pro,2026-08-07T14:34:26.461508
Tecno,Tecno Spark 30 8GB,8 GB,8.0,128GB,128.0,,,6.78 inch,,64.0 MP,,0,,3190000,https://fptshop.com.vn/dien-thoai/tecno-spark-30-8gb,2026-08-07T14:34:29.323691
Oppo,OPPO Reno15 F 5G 8GB,8 GB,8.0,256GB,256.0,,,6.57 inch,,50.0 MP,,1,,11990000,https://fptshop.com.vn/dien-thoai/oppo-reno15-f,2026-08-07T14:34:32.517278
Oppo,Oppo A6C 4GB,4 GB,4.0,64GB,64.0,,,6.75 inch,,13.0 MP,,0,,4690000,https://fptshop.com.vn/dien-thoai/oppo-a6c,2026-08-07T14:34:35.976862
Honor,Honor X5b Plus 4GB,4 GB,4.0,128GB,128.0,,,6.56 inch,,13.0 MP,,0,,2440000,https://fptshop.com.vn/dien-thoai/honor-x5b-plus,2026-08-07T14:34:38.462155
Xiaomi,Xiaomi Redmi Note 15 5G 6GB,6 GB,6.0,128GB,128.0,,,6.77 inch,,,,1,,6790000,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-note-15-5g,2026-08-07T14:34:41.183256
Samsung,Samsung Galaxy A56 5G,8 GB,8.0,128GB,128.0,,,6.7 inch,,50.0 MP,,1,,9310000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a56?sku=00916571,2026-08-07T14:34:43.748140
Apple,iPhone 16 Plus,128GB,128.0,128 GB,128.0,,8 GB,6.7 inch,,,,0,,24990000,https://fptshop.com.vn/dien-thoai/iphone-16-plus,2026-08-07T14:34:46.924871
Samsung,Samsung Galaxy Z Fold7 5G,12 GB,12.0,256GB,256.0,,,8 inch,,200.0 MP,,1,,39990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-fold7?sku=00919910,2026-08-07T14:34:49.279872
Samsung,Samsung Galaxy A17 5G,8 GB,8.0,128GB,128.0,,,6.7 inch,,50.0 MP,,1,,6490000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a17-5g?sku=00920680,2026-08-07T14:34:53.739554
Oppo,OPPO A6 Pro 8GB,8 GB,8.0,256GB,256.0,,,6.57 inch,,50 MP,,0,,9990000,https://fptshop.com.vn/dien-thoai/oppo-a6-pro?sku=00922203,2026-08-07T14:34:58.350793
Samsung,Samsung Galaxy A27 5G 6GB,6 GB,6.0,128GB,128.0,,,6.7 inch,,50 MP,,1,,7490000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a27?sku=00929307,2026-08-07T14:35:01.630342
Oppo,OPPO Reno12 5G 12GB,12 GB,12.0,256GB,256.0,,,6.7 inch,,50.0 MP,,1,,9990000,https://fptshop.com.vn/dien-thoai/oppo-reno12,2026-08-07T14:35:05.282756
