Model,Target,CV MAE,CV RMSE,CV R²,Std MAE
Ridge Regression (Raw),Raw,4102544.673242945,5678960.860657235,0.731264592327326,215018.737127986
Linear Regression (Raw),Raw,4144889.8856163463,5651618.346051199,0.7139702455807537,359084.27640835074
Ridge Regression (Log),Log,4225981.482307421,6446251.9165314855,0.6796072668164452,1531017.4639537653
Random Forest (Raw),Raw,4468893.4195378395,6748029.904677846,0.6382536085307646,1073626.0887608908
Linear Regression (Log),Log,4524254.650880637,7068287.440358818,0.6011668491013745,1679516.6646054043
Random Forest (Log),Log,4558438.552438648,6886060.379317028,0.6306677448180202,1269380.307446409
